DATE,ARRIVAL
2014-01-01,
2014-01-02,415.0
2014-01-03,
2014-01-04,515.0
2014-01-05,
2014-01-06,271.5
2014-01-07,532.5
2014-01-08,407.5
2014-01-09,554.0
2014-01-10,467.5
2014-01-11,576.0
2014-01-12,
2014-01-13,553.0
2014-01-14,
2014-01-15,245.0
2014-01-16,213.5
2014-01-17,351.0
2014-01-18,342.5
2014-01-19,
2014-01-20,425.0
2014-01-21,512.0
2014-01-22,352.5
2014-01-23,337.2
2014-01-24,311.8
2014-01-25,486.5
2014-01-26,
2014-01-27,554.0
2014-01-28,725.0
2014-01-29,625.0
2014-01-30,517.0
2014-01-31,492.5
2014-02-01,412.5
2014-02-02,
2014-02-03,613.0
2014-02-04,
2014-02-05,
2014-02-06,
2014-02-07,663.7
2014-02-08,556.7
2014-02-09,
2014-02-10,481.5
2014-02-11,533.0
2014-02-12,392.0
2014-02-13,385.0
2014-02-14,451.5
2014-02-15,323.0
2014-02-16,
2014-02-17,357.0
2014-02-18,418.0
2014-02-19,412.5
2014-02-20,512.0
2014-02-21,532.5
2014-02-22,300.0
2014-02-23,
2014-02-24,512.0
2014-02-25,250.0
2014-02-26,418.5
2014-02-27,
2014-02-28,419.0
2014-03-01,369.7
2014-03-02,
2014-03-03,421.2
2014-03-04,439.5
2014-03-05,354.5
2014-03-06,448.0
2014-03-07,445.0
2014-03-08,376.0
2014-03-09,
2014-03-10,404.0
2014-03-11,458.5
2014-03-12,334.5
2014-03-13,302.0
2014-03-14,353.0
2014-03-15,
2014-03-16,
2014-03-17,
2014-03-18,254.0
2014-03-19,286.0
2014-03-20,246.5
2014-03-21,331.0
2014-03-22,427.5
2014-03-23,
2014-03-24,876.5
2014-03-25,334.0
2014-03-26,352.2
2014-03-27,389.0
2014-03-28,357.0
2014-03-29,407.4
2014-03-30,
2014-03-31,423.5
2014-04-01,419.3
2014-04-02,381.5
2014-04-03,654.0
2014-04-04,621.0
2014-04-05,469.0
2014-04-06,
2014-04-07,354.0
2014-04-08,
2014-04-09,650.0
2014-04-10,486.0
2014-04-11,495.7
2014-04-12,415.5
2014-04-13,
2014-04-14,314.7
2014-04-15,554.5
2014-04-16,456.0
2014-04-17,
2014-04-18,519.6
2014-04-19,472.5
2014-04-20,
2014-04-21,482.5
2014-04-22,456.0
2014-04-23,463.7
2014-04-24,441.5
2014-04-25,514.5
2014-04-26,450.2
2014-04-27,
2014-04-28,471.5
2014-04-29,785.0
2014-04-30,415.0
2014-05-01,557.5
2014-05-02,
2014-05-03,515.5
2014-05-04,
2014-05-05,805.5
2014-05-06,367.5
2014-05-07,466.0
2014-05-08,521.7
2014-05-09,414.5
2014-05-10,305.0
2014-05-11,
2014-05-12,355.0
2014-05-13,359.0
2014-05-14,253.0
2014-05-15,169.5
2014-05-16,312.0
2014-05-17,275.0
2014-05-18,
2014-05-19,235.9
2014-05-20,355.5
2014-05-21,312.2
2014-05-22,282.5
2014-05-23,319.4
2014-05-24,356.0
2014-05-25,
2014-05-26,302.0
2014-05-27,457.5
2014-05-28,
2014-05-29,312.5
2014-05-30,415.0
2014-05-31,404.5
2014-06-01,
2014-06-02,452.0
2014-06-03,365.0
2014-06-04,325.5
2014-06-05,328.0
2014-06-06,427.0
2014-06-07,450.5
2014-06-08,
2014-06-09,657.0
2014-06-10,455.0
2014-06-11,366.0
2014-06-12,353.0
2014-06-13,389.0
2014-06-14,558.0
2014-06-15,
2014-06-16,1275.0
2014-06-17,754.5
2014-06-18,556.7
2014-06-19,539.5
2014-06-20,556.4
2014-06-21,550.0
2014-06-22,
2014-06-23,348.0
2014-06-24,321.9
2014-06-25,306.0
2014-06-26,502.5
2014-06-27,452.0
2014-06-28,455.0
2014-06-29,
2014-06-30,454.0
2014-07-01,506.1
2014-07-02,355.0
2014-07-03,423.5
2014-07-04,456.7
2014-07-05,402.5
2014-07-06,
2014-07-07,416.0
2014-07-08,501.9
2014-07-09,351.5
2014-07-10,321.5
2014-07-11,308.5
2014-07-12,308.0
2014-07-13,
2014-07-14,502.8
2014-07-15,
2014-07-16,
2014-07-17,708.5
2014-07-18,
2014-07-19,501.0
2014-07-20,
2014-07-21,
2014-07-22,503.2
2014-07-23,608.5
2014-07-24,408.0
2014-07-25,501.2
2014-07-26,509.6
2014-07-27,
2014-07-28,402.0
2014-07-29,302.5
2014-07-30,275.0
