DATE,PRICE
2014-01-01,
2014-01-02,3650.0
2014-01-03,
2014-01-04,3800.0
2014-01-05,
2014-01-06,3850.0
2014-01-07,3650.0
2014-01-08,3700.0
2014-01-09,3700.0
2014-01-10,3700.0
2014-01-11,3640.0
2014-01-12,
2014-01-13,3700.0
2014-01-14,
2014-01-15,3825.0
2014-01-16,3575.0
2014-01-17,3700.0
2014-01-18,3700.0
2014-01-19,
2014-01-20,3675.0
2014-01-21,3700.0
2014-01-22,3750.0
2014-01-23,3700.0
2014-01-24,3750.0
2014-01-25,3740.0
2014-01-26,
2014-01-27,3700.0
2014-01-28,3750.0
2014-01-29,3770.0
2014-01-30,3750.0
2014-01-31,3700.0
2014-02-01,3770.0
2014-02-02,
2014-02-03,3880.0
2014-02-04,
2014-02-05,
2014-02-06,
2014-02-07,3800.0
2014-02-08,3650.0
2014-02-09,
2014-02-10,3700.0
2014-02-11,3720.0
2014-02-12,3850.0
2014-02-13,3800.0
2014-02-14,3850.0
2014-02-15,3850.0
2014-02-16,
2014-02-17,3750.0
2014-02-18,3775.0
2014-02-19,3800.0
2014-02-20,3750.0
2014-02-21,3770.0
2014-02-22,3700.0
2014-02-23,
2014-02-24,3785.0
2014-02-25,3750.0
2014-02-26,3775.0
2014-02-27,
2014-02-28,3850.0
2014-03-01,3800.0
2014-03-02,
2014-03-03,3850.0
2014-03-04,3900.0
2014-03-05,3885.0
2014-03-06,3925.0
2014-03-07,3900.0
2014-03-08,3950.0
2014-03-09,
2014-03-10,3985.0
2014-03-11,3955.0
2014-03-12,3970.0
2014-03-13,3980.0
2014-03-14,3970.0
2014-03-15,
2014-03-16,
2014-03-17,
2014-03-18,3935.0
2014-03-19,3950.0
2014-03-20,3995.0
2014-03-21,3975.0
2014-03-22,3950.0
2014-03-23,
2014-03-24,3930.0
2014-03-25,3975.0
2014-03-26,3985.0
2014-03-27,3995.0
2014-03-28,3950.0
2014-03-29,3990.0
2014-03-30,
2014-03-31,3980.0
2014-04-01,4000.0
2014-04-02,4000.0
2014-04-03,4050.0
2014-04-04,4050.0
2014-04-05,4200.0
2014-04-06,
2014-04-07,4000.0
2014-04-08,
2014-04-09,4220.0
2014-04-10,4200.0
2014-04-11,4225.0
2014-04-12,4200.0
2014-04-13,
2014-04-14,4250.0
2014-04-15,4230.0
2014-04-16,4270.0
2014-04-17,
2014-04-18,4255.0
2014-04-19,4250.0
2014-04-20,
2014-04-21,4200.0
2014-04-22,4270.0
2014-04-23,4300.0
2014-04-24,4320.0
2014-04-25,4330.0
2014-04-26,4450.0
2014-04-27,
2014-04-28,4400.0
2014-04-29,4455.0
2014-04-30,4500.0
2014-05-01,4550.0
2014-05-02,
2014-05-03,4425.0
2014-05-04,
2014-05-05,4500.0
2014-05-06,4500.0
2014-05-07,4550.0
2014-05-08,4470.0
2014-05-09,4400.0
2014-05-10,4450.0
2014-05-11,
2014-05-12,4450.0
2014-05-13,4330.0
2014-05-14,4450.0
2014-05-15,4450.0
2014-05-16,4400.0
2014-05-17,4350.0
2014-05-18,
2014-05-19,4350.0
2014-05-20,4350.0
2014-05-21,4300.0
2014-05-22,4250.0
2014-05-23,4350.0
2014-05-24,4370.0
2014-05-25,
2014-05-26,4400.0
2014-05-27,4500.0
2014-05-28,
2014-05-29,4300.0
2014-05-30,4300.0
2014-05-31,4400.0
2014-06-01,
2014-06-02,4350.0
2014-06-03,4200.0
2014-06-04,4255.0
2014-06-05,4250.0
2014-06-06,4250.0
2014-06-07,4300.0
2014-06-08,
2014-06-09,4200.0
2014-06-10,4000.0
2014-06-11,4150.0
2014-06-12,4200.0
2014-06-13,4300.0
2014-06-14,4200.0
2014-06-15,
2014-06-16,4150.0
2014-06-17,4250.0
2014-06-18,4100.0
2014-06-19,4100.0
2014-06-20,3900.0
2014-06-21,3980.0
2014-06-22,
2014-06-23,4100.0
2014-06-24,3700.0
2014-06-25,3700.0
2014-06-26,3750.0
2014-06-27,3800.0
2014-06-28,3900.0
2014-06-29,
2014-06-30,3900.0
2014-07-01,3950.0
2014-07-02,4050.0
2014-07-03,4000.0
2014-07-04,4070.0
2014-07-05,3950.0
2014-07-06,
2014-07-07,3950.0
2014-07-08,3930.0
2014-07-09,4050.0
2014-07-10,4100.0
2014-07-11,4050.0
2014-07-12,4070.0
2014-07-13,
2014-07-14,4050.0
2014-07-15,
2014-07-16,
2014-07-17,4100.0
2014-07-18,
2014-07-19,4075.0
2014-07-20,
2014-07-21,
2014-07-22,4180.0
2014-07-23,4170.0
2014-07-24,4180.0
2014-07-25,4100.0
2014-07-26,4100.0
2014-07-27,
2014-07-28,4200.0
2014-07-29,4100.0
2014-07-30,4050.0
2014-07-31,4050.0
2014-08-01,4000.0
2014-08-02,4000.0
2014-08-03,
2014-08-04,4000.0
2014-08-05,3850.0
2014-08-06,
2014-08-07,3800.0
2014-08-08,3700.0
2014-08-09,3800.0
2014-08-10,
2014-08-11,3700.0
2014-08-12,3600.0
2014-08-13,3600.0
2014-08-14,3700.0
2014-08-15,
2014-08-16,3670.0
2014-08-17,
2014-08-18,
2014-08-19,3550.0
2014-08-20,3500.0
2014-08-21,3500.0
2014-08-22,3500.0
2014-08-23,3450.0
2014-08-24,
2014-08-25,
2014-08-26,
2014-08-27,3550.0
2014-08-28,3600.0
2014-08-29,
2014-08-30,3600.0
2014-08-31,
2014-09-01,3570.0
2014-09-02,3550.0
2014-09-03,3500.0
2014-09-04,3500.0
2014-09-05,3500.0
2014-09-06,3350.0
2014-09-07,
2014-09-08,
2014-09-09,3400.0
2014-09-10,3400.0
2014-09-11,3400.0
2014-09-12,3370.0
2014-09-13,
2014-09-14,
2014-09-15,3250.0
2014-09-16,3370.0
2014-09-17,3300.0
2014-09-18,3400.0
2014-09-19,3400.0
2014-09-20,3300.0
2014-09-21,
2014-09-22,3320.0
2014-09-23,3100.0
2014-09-24,3200.0
2014-09-25,
2014-09-26,3100.0
2014-09-27,3200.0
2014-09-28,
2014-09-29,3225.0
2014-09-30,3200.0
2014-10-01,3200.0
2014-10-02,3200.0
2014-10-03,
2014-10-04,3200.0
2014-10-05,
2014-10-06,3100.0
2014-10-07,3100.0
2014-10-08,3200.0
2014-10-09,3100.0
2014-10-10,3100.0
2014-10-11,
2014-10-12,
2014-10-13,2950.0
2014-10-14,
2014-10-15,2800.0
2014-10-16,2900.0
2014-10-17,2900.0
2014-10-18,
2014-10-19,
2014-10-20,
2014-10-21,
2014-10-22,
2014-10-23,
2014-10-24,
